sensor_id,lat,lon,timestamp,P1,P2,humidity,temperature
34387,44.43373654232,26.13383666165,2025-12-06 19:00:00,28.67,9.4,,
84030,44.40106191129,25.98359084126,2025-12-06 18:59:56,,,100.0,3.0
84029,44.40106191129,25.98359084126,2025-12-06 18:59:56,12.0,7.5,,
65257,44.507528,26.019139,2025-12-06 18:59:49,,,100.0,1.17
65256,44.507528,26.019139,2025-12-06 18:59:49,10.25,6.05,,
51047,44.55107794784,26.08994579312,2025-12-06 18:59:47,,,100.0,-147.23
51046,44.55107794784,26.08994579312,2025-12-06 18:59:47,19.97,10.67,,
96005,44.43949163319,26.09994399595,2025-12-06 18:59:32,,,76.07,4.28
96004,44.43949163319,26.09994399595,2025-12-06 18:59:32,17.58,16.36,,
89278,44.43697656417,26.08395159245,2025-12-06 18:59:30,,,96.3,3.75
89277,44.43697656417,26.08395159245,2025-12-06 18:59:30,16.03,15.6,,
94283,44.41249793129,26.19358420372,2025-12-06 18:59:30,,,94.11,3.88
94282,44.41249793129,26.19358420372,2025-12-06 18:59:30,18.89,18.51,,
85262,44.48482444921,26.02662205729,2025-12-06 18:59:30,,,100.0,2.57
85261,44.48482444921,26.02662205729,2025-12-06 18:59:29,11.2,4.2,,
87658,44.42347561414,26.14607691765,2025-12-06 18:59:28,,,100.0,2.99
87657,44.42347561414,26.14607691765,2025-12-06 18:59:28,14.35,7.03,,
56777,44.41345388987,26.10006952305,2025-12-06 18:59:03,,,85.57,4.44
56776,44.41345388987,26.10006952305,2025-12-06 18:59:03,15.3,7.8,,
48146,44.44631195248,25.98586320877,2025-12-06 18:58:26,6.4,3.63,,
87658,44.42347561414,26.14607691765,2025-12-06 18:58:26,,,100.0,2.58
87657,44.42347561414,26.14607691765,2025-12-06 18:58:25,11.65,6.43,,
87014,44.426,26.07,2025-12-06 18:57:54,,,77.96,4.4
87013,44.426,26.07,2025-12-06 18:57:53,12.7,6.6,,
46290,44.444,26.006,2025-12-06 18:57:50,20.0,10.57,,
88308,44.46907926395,26.05752110481,2025-12-06 18:57:44,,,100.0,3.17
88307,44.46907926395,26.05752110481,2025-12-06 18:57:43,0.0,0.0,,
69600,44.42081043259,26.0687059164,2025-12-06 18:57:42,,,87.23,4.84
69599,44.42081043259,26.0687059164,2025-12-06 18:57:42,13.0,6.4,,
51045,44.55123544787,26.089872837,2025-12-06 18:57:40,,,100.0,4.62
51044,44.55123544787,26.089872837,2025-12-06 18:57:40,23.3,12.6,,
84030,44.40106191129,25.98359084126,2025-12-06 18:57:27,,,100.0,3.02
84029,44.40106191129,25.98359084126,2025-12-06 18:57:27,10.2,5.8,,
87658,44.42347561414,26.14607691765,2025-12-06 18:57:24,,,100.0,3.08
87657,44.42347561414,26.14607691765,2025-12-06 18:57:23,13.25,6.43,,
51047,44.55107794784,26.08994579312,2025-12-06 18:57:22,,,100.0,-147.23
51046,44.55107794784,26.08994579312,2025-12-06 18:57:21,19.67,10.07,,
65257,44.507528,26.019139,2025-12-06 18:57:19,,,100.0,1.19
65256,44.507528,26.019139,2025-12-06 18:57:19,9.2,5.97,,
96005,44.43949163319,26.09994399595,2025-12-06 18:57:02,,,76.36,4.27
96004,44.43949163319,26.09994399595,2025-12-06 18:57:02,16.58,15.73,,
94283,44.41249793129,26.19358420372,2025-12-06 18:57:01,,,93.88,3.87
94282,44.41249793129,26.19358420372,2025-12-06 18:57:01,18.93,18.42,,
85262,44.48482444921,26.02662205729,2025-12-06 18:57:00,,,100.0,2.58
85261,44.48482444921,26.02662205729,2025-12-06 18:57:00,11.0,4.2,,
89278,44.43697656417,26.08395159245,2025-12-06 18:57:00,,,97.16,3.73
89277,44.43697656417,26.08395159245,2025-12-06 18:57:00,16.86,16.15,,
56777,44.41345388987,26.10006952305,2025-12-06 18:56:37,,,85.65,4.43
56776,44.41345388987,26.10006952305,2025-12-06 18:56:37,14.7,7.7,,
87658,44.42347561414,26.14607691765,2025-12-06 18:56:22,,,100.0,3.07
87657,44.42347561414,26.14607691765,2025-12-06 18:56:21,10.5,5.9,,
48146,44.44631195248,25.98586320877,2025-12-06 18:56:01,10.68,4.5,,
39083,44.444,26.098,2025-12-06 18:55:41,,,,5.48
39082,44.444,26.098,2025-12-06 18:55:41,33.0,30.0,,
87014,44.426,26.07,2025-12-06 18:55:24,,,77.82,4.47
87013,44.426,26.07,2025-12-06 18:55:24,11.5,6.5,,
46290,44.444,26.006,2025-12-06 18:55:23,21.92,9.88,,
87658,44.42347561414,26.14607691765,2025-12-06 18:55:20,,,100.0,2.94
87657,44.42347561414,26.14607691765,2025-12-06 18:55:19,16.35,7.2,,
88308,44.46907926395,26.05752110481,2025-12-06 18:55:17,,,100.0,3.18
69600,44.42081043259,26.0687059164,2025-12-06 18:55:17,,,87.08,4.82
69599,44.42081043259,26.0687059164,2025-12-06 18:55:17,14.3,7.4,,
88307,44.46907926395,26.05752110481,2025-12-06 18:55:17,0.1,0.1,,
51045,44.55123544787,26.089872837,2025-12-06 18:55:14,,,100.0,4.57
51044,44.55123544787,26.089872837,2025-12-06 18:55:14,23.17,12.8,,
84030,44.40106191129,25.98359084126,2025-12-06 18:54:58,,,100.0,3.03
84029,44.40106191129,25.98359084126,2025-12-06 18:54:57,12.6,6.8,,
51047,44.55107794784,26.08994579312,2025-12-06 18:54:56,,,100.0,-147.23
51046,44.55107794784,26.08994579312,2025-12-06 18:54:56,20.77,10.2,,
